domain,dataset,n_eval,eval_unit,model,config,metric,value,source_doc
sleep,Sleep_EDF,30,recordings,REVE,identity_free,balanced_accuracy,0.368,docs/sleep_edf_results.md
sleep,Sleep_EDF,30,recordings,REVE,identity_free,cohens_kappa,0.202,docs/sleep_edf_results.md
sleep,HMC,22,recordings,classical,normal,balanced_accuracy,0.929,docs/hmc_sleep_results.md
sleep,HMC,22,recordings,classical,normal,cohens_kappa,0.859,docs/hmc_sleep_results.md
sleep,HMC,22,recordings,classical,identity_free,balanced_accuracy,0.887,docs/hmc_sleep_results.md
sleep,HMC,22,recordings,classical,identity_free,cohens_kappa,0.774,docs/hmc_sleep_results.md
sleep,HMC,22,recordings,REVE,normal,balanced_accuracy,0.949,docs/hmc_sleep_results.md
sleep,HMC,22,recordings,REVE,normal,cohens_kappa,0.898,docs/hmc_sleep_results.md
sleep,HMC,22,recordings,REVE,identity_free,balanced_accuracy,0.704,docs/hmc_sleep_results.md
sleep,HMC,22,recordings,REVE,identity_free,cohens_kappa,0.408,docs/hmc_sleep_results.md
epilepsy,TUSZ,865,recordings,classical,normal,sens_at_1_FPday,0.333,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,classical,identity_free,sens_at_1_FPday,0.192,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,REVE,normal,sens_at_1_FPday,0.085,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,REVE,identity_free,sens_at_1_FPday,0.000,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,EEGDINO,normal,sens_at_1_FPday,0.000,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,EEGDINO,identity_free,sens_at_1_FPday,0.000,docs/epilepsy_tusz_results.md
epilepsy,SeizeIT2,671,recordings,classical,normal,sens_at_1_FPday,0.000,docs/epilepsy_tusz_results.md
epilepsy,SeizeIT2,671,recordings,classical,identity_free,sens_at_1_FPday,0.031,docs/epilepsy_tusz_results.md
epilepsy,Helsinki_neonatal,15,recordings,classical,normal,sens_at_1_FPday,0.085,docs/helsinki_neonatal_results.md
epilepsy,Helsinki_neonatal,15,recordings,classical,identity_free,sens_at_1_FPday,0.024,docs/helsinki_neonatal_results.md
epilepsy,Helsinki_neonatal,15,recordings,REVE,normal,sens_at_1_FPday,0.000,docs/helsinki_neonatal_results.md
