dataset,paradigm,n_subjects,n_recordings,n_windows,label_frac,subject_frac,residual_frac,excess_label_ratio,excess_subject_ratio,c_bar_value,raw_label_ba,identity_free_label_ba,erasure_delta,erasure_interpretable,layer_label_ba_first,layer_label_ba_last,layer_label_ba_max,layer_argmax_depth,layer_sign,state_drop,subject_drop,oneoverf_role,verdict,layer,model,status
Kalunga2016,SSVEP,12,24,480,0.029936561774638625,0.6686332419699719,0.30143019625538947,0.9436238092840661,2.0058462736809237,-0.00311032214054162,0.6805555555555557,0.7083333333333334,0.027777777777777752,True,0.5348274410774411,0.5257786195286195,0.546590909090909,0.4090909090909091,,0.016582491582491643,0.17118055555555556,subject confound,TRAP,6,brain-bzh/reve-base,ok
MAMEM1,SSVEP,10,20,420,0.016022925049605525,0.8581570279752551,0.12582004697513938,1.146919168230093,5.56417327385328,-0.07007366588789848,0.44999999999999996,0.4666666666666666,0.01666666666666672,False,0.4962393162393162,0.506092796092796,0.5298534798534799,0.5454545454545454,,-0.020598290598290603,0.604068783068783,subject confound,TRAP,6,brain-bzh/reve-base,ok
MAMEM2,SSVEP,10,20,500,0.015244653962481102,0.8739839154000164,0.1107714306375025,0.9784165521837991,6.126261343980216,-0.01168759033114411,0.5166666666666667,0.5499999999999999,0.03333333333333329,False,0.44222222222222224,0.5083333333333334,0.5566666666666666,0.6818181818181818,,0.046111111111111214,0.5301587301587302,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
MAMEM3,SSVEP,10,20,450,0.011192603956111153,0.9007386836265032,0.08806871241738568,1.0016287344237955,9.090651829930867,0.03419611610770998,0.4666666666666666,0.43333333333333335,-0.033333333333333305,False,0.46541666666666665,0.5273611111111111,0.5425,0.3181818181818182,,-0.005555555555555536,0.5423015873015875,subject confound,identity-reliant,6,brain-bzh/reve-base,ok
Nakanishi2015,SSVEP,9,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,FAILED: TypeError: reshape() got an unexpected keyword argument 'newshape'
