dataset,n_subjects,n_trials,n_channels,Ks,Kt,n_feat,pooled_raw,pooled_erased,pooled_delta,pertrial_raw,pertrial_erased,pertrial_delta,subj_ba_pre,subj_ba_post,subj_chance,interpretable,degenerate,verdict,status
Kalunga2016,12,480,8,2,125,250,0.5556,0.5694,0.0139,0.534,0.5264,-0.0076,0.1044,0.001,0.0833,False,False,no-transfer,ok
Lee2019-SSVEP,54,5400,62,9,385,3465,0.9846,0.9907,0.0062,0.8265,0.821,-0.0055,0.3989,0.0,0.0185,True,False,task-carried,ok
MAMEM1,10,420,256,5,6,30,0.5,0.55,0.05,0.4944,0.5143,0.0198,0.1872,0.1078,0.1,False,False,no-transfer,ok
MAMEM2,10,500,256,3,13,39,0.3333,0.2833,-0.05,0.5127,0.5027,-0.01,0.26,0.1,0.1,False,False,no-transfer,ok
MAMEM3,10,450,14,4,42,168,0.4667,0.4,-0.0667,0.5018,0.5013,-0.0005,0.1733,0.0511,0.1,False,False,no-transfer,ok
Nakanishi2015,9,270,8,1,91,91,0.963,0.963,0.0,0.8395,0.8136,-0.0259,0.5037,0.0111,0.1111,True,False,task-carried,ok
Wang2016,,,,,,,,,,,,,,,,,,,FAILED: ValueError
