grouping,raw,erased,lift,lift_std,subj_ba_pre,subj_ba_post,subj_chance,rank,degenerate,interpretable
pooled_subject_class,0.6667,0.963,0.2963,0.0693,0.6144,0.0589,0.1111,8,False,True
per_trial,0.536,0.5401,0.0041,0.0054,0.6144,0.0589,0.1111,8,False,False
