dataset,paradigm,n_subjects,n_recordings,n_windows,label_frac,subject_frac,residual_frac,excess_label_ratio,excess_subject_ratio,c_bar_value,raw_label_ba,identity_free_label_ba,erasure_delta,erasure_interpretable,verdict,layer,model,status
BNCI2014-001,LeftRightImagery,9,18,2592,0.013877137978181242,0.892738443875896,0.0933844181459228,1.3114378949094425,10.658120724339323,0.02823087626009666,0.6666666666666666,1.0,0.3333333333333333,True,TRAP,6,brain-bzh/reve-base,ok
BNCI2014-004,LeftRightImagery,9,18,6520,0.011770708327085454,0.9158797971442003,0.0723494945287142,2.0209359613514857,19.54578491978834,0.054995560804538546,0.9444444444444443,1.0,0.05555555555555558,True,TRAP,6,brain-bzh/reve-base,ok
Zhou2016,LeftRightImagery,4,8,1199,0.05527286181063232,0.8222307980792711,0.12249634011009658,1.0829615523592182,5.7075762995886485,0.07813436396211135,0.75,1.0,0.25,True,TRAP,6,brain-bzh/reve-base,ok
