dataset,paradigm,n_subjects,n_recordings,n_windows,label_frac,subject_frac,residual_frac,excess_label_ratio,excess_subject_ratio,c_bar_value,raw_label_ba,identity_free_label_ba,erasure_delta,erasure_interpretable,layer_label_ba_first,layer_label_ba_last,layer_label_ba_max,layer_argmax_depth,layer_sign,state_drop,subject_drop,oneoverf_role,verdict,layer,model,status
Kalunga2016,SSVEP,12,24,480,0.029936561774638625,0.6686332419699719,0.30143019625538947,0.9436238092840661,2.0058462736809237,-0.00311032214054162,0.5368055555555556,0.5368055555555556,3.700743415417188e-17,False,nan,nan,nan,nan,,nan,nan,,no-transfer,6,brain-bzh/reve-base,ok
Lee2019-SSVEP,SSVEP,54,48,2400,0.012005317836703455,0.8566015824567479,0.13139309970654867,2.2926793633671707,7.280849445669274,0.052505956233580994,0.601111111111111,0.6066666666666667,0.005555555555555536,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
MAMEM1,SSVEP,10,20,420,0.016022925049605525,0.8581570279752551,0.12582004697513938,1.146919168230093,5.56417327385328,-0.07007366588789848,0.480952380952381,0.47380952380952385,-0.007142857142857155,False,nan,nan,nan,nan,,nan,nan,,no-transfer,6,brain-bzh/reve-base,ok
MAMEM2,SSVEP,10,20,500,0.015244653962481102,0.8739839154000164,0.1107714306375025,0.9784165521837991,6.126261343980216,-0.01168759033114411,0.5006666666666667,0.5086666666666667,0.008000000000000007,False,nan,nan,nan,nan,,nan,nan,,no-transfer,6,brain-bzh/reve-base,ok
MAMEM3,SSVEP,10,20,450,0.011192603956111153,0.9007386836265032,0.08806871241738568,1.0016287344237955,9.090651829930867,0.03419611610770998,0.4945,0.4841666666666667,-0.010333333333333342,False,nan,nan,nan,nan,,nan,nan,,no-transfer,6,brain-bzh/reve-base,ok
Nakanishi2015,SSVEP,9,18,270,0.11488655419733429,0.724348611414734,0.16076483438793177,8.043709378524245,6.524985506536939,0.3049792043437933,0.8765432098765432,0.8987654320987654,0.022222222222222216,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
Wang2016,SSVEP,34,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,"FAILED: ValueError: DigMontage is only a subset of info. There are 2 channel positions not present in the DigMontage. The channels missing from the montage are:

['CB1', 'CB2'].

Consider using inst.r"
